,cik_str,ticker,title
10196,1053092,MLPO,CREDIT SUISSE AG
10197,1053092,MLTI,CREDIT SUISSE AG
10198,1053092,REML,CREDIT SUISSE AG
10199,1053092,FEUL,CREDIT SUISSE AG
10200,1053092,FLGE,CREDIT SUISSE AG
10201,1053092,GLDI,CREDIT SUISSE AG
10202,1053092,DGLD,CREDIT SUISSE AG
10203,1053092,DGLDF,CREDIT SUISSE AG
10204,1053092,DSLV,CREDIT SUISSE AG
10205,1053092,DSLVF,CREDIT SUISSE AG
10206,936340,DTP,DTE ENERGY CO
10207,927628,COF-PI,CAPITAL ONE FINANCIAL CORP
10208,927628,COF-PJ,CAPITAL ONE FINANCIAL CORP
10209,927628,COF-PK,CAPITAL ONE FINANCIAL CORP
10210,927971,BNKD,BANK OF MONTREAL /CAN/
10211,927971,BNKU,BANK OF MONTREAL /CAN/
10212,927971,YGRN,BANK OF MONTREAL /CAN/
10213,927971,MJJ,BANK OF MONTREAL /CAN/
10214,927971,MJO,BANK OF MONTREAL /CAN/
10215,927971,NRGD,BANK OF MONTREAL /CAN/
10216,927971,NRGO,BANK OF MONTREAL /CAN/
10217,927971,NRGZ,BANK OF MONTREAL /CAN/
10218,927971,GDXD,BANK OF MONTREAL /CAN/
10219,927971,GDXU,BANK OF MONTREAL /CAN/
10220,929008,WCC-PA,WESCO INTERNATIONAL INC
10221,945764,DNRRW,DENBURY INC
10222,945764,DNRWW,DENBURY INC
10223,936528,WAFDP,WASHINGTON FEDERAL INC
10224,922247,CYTHW,"Cyclo Therapeutics, Inc."
10225,922224,PPX,PPL Corp
10226,921671,GGT-PG,GABELLI MULTIMEDIA TRUST INC.
10227,920112,HTLFP,HEARTLAND FINANCIAL USA INC
10228,925661,SECT,"SECTOR 10, Inc."
10229,925741,BCDAW,"BioCardia, Inc."
10230,915191,FAXRF,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN
10231,915191,FRFZF,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN
10232,1029974,IPGLF,INTERPUMP GROUP SPA /FI
10233,1029730,LTSH,LADENBURG THALMANN FINANCIAL SERVICES INC.
10234,1029730,LTSK,LADENBURG THALMANN FINANCIAL SERVICES INC.
10235,1030469,OFG-PB,OFG BANCORP
10236,1026214,FMCKK,FEDERAL HOME LOAN MORTGAGE CORP
10237,1026214,FREJP,FEDERAL HOME LOAN MORTGAGE CORP
10238,1015328,WTFCP,WINTRUST FINANCIAL CORP
10239,1004980,PCGU,PG&E Corp
10240,1004702,OCFCP,OCEANFIRST FINANCIAL CORP
